********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,23-Feb-21,Time,12:44
Core random seed,  1775512646
*******************
Selected Configuration,  1
Session Type,  6
Moyenne Des Sessions,  40


923232,17 66 
923237,96 69 
923601,59 75 
923763,05 64 
923771,81 68 
924222,59 74 
924222,59 65 
924222,59 3 
924370,91 66 
924388,53 69 
924958,11 75 
925034,92 66 
925039,36 69 
925701,34 75 
925950,97 66 
925956,47 69 
926329,81 75 
926438,22 66 
926440,3 69 
928241,85 68 
930145,52 74 
930145,52 65 
930145,52 3 
930294,7 66 
930309,67 69 
932502,96 75 
932683,82 66 
932694,86 69 
934162,72 68 
934829,72 74 
934829,72 4 
935484,46 66 
935496,96 69 
935570,89 75 
935823 66 
935830,65 69 
938849,56 68 
939299,15 74 
939299,15 65 
939299,15 3 
939447,45 66 
939450,09 69 
940737,39 75 
941010,83 66 
941018,17 69 
941745,18 75 
941923,17 66 
941935,24 69 
942305,74 75 
942366,55 66 
942369,13 69 
943265,95 75 
943482,76 64 
943486,53 68 
943731,1 74 
943731,1 4 
944070,81 66 
944086,9 69 
945078,8 75 
945258,83 66 
945271,13 69 
945339,07 75 
945640,99 66 
945656,22 69 
947739,89 68 
952312,66 74 
952312,66 65 
952312,66 3 
952459,02 66 
952476,55 69 
953770,52 75 
953849,28 66 
953861,02 69 
955937,05 75 
956191,32 66 
956196,42 69 
956329,93 68 
956537,46 74 
956537,46 65 
956537,46 3 
956854,91 66 
956863,27 69 
957442,17 75 
957702,71 66 
957714 69 
957789,94 75 
957890,66 66 
957897,62 69 
959474,01 75 
959567,41 66 
959582,42 69 
960198,53 75 
960290,87 66 
960299,62 69 
960549,5 68 
969045,37 74 
969045,37 65 
969045,37 3 
969458,37 66 
969472,88 69 
973059,24 68 
982551,19 74 
982551,19 65 
982551,19 3 
982636,48 66 
982649,72 69 
986569,33 68 
987221,09 74 
987221,09 4 
987675,24 66 
987686,78 69 
987818,03 75 
988058,77 66 
988070,69 69 
991239,68 68 
991974,81 74 
991974,81 65 
991974,81 3 
992046,9 66 
992056,78 69 
995695,15 204
995695,15 155
995695,15 175
996694,29 68 
999058,45 74 
999058,45 4 
999622,82 66 
999629,22 69 
1000129,79 75 
1000394,78 66 
1000396,77 69 
1003065,24 68 
1009189,84 74 
1009189,84 4 
1009442,93 66 
1009453,36 69 
1010093,74 65 
1010093,74 1 
1013206,47 68 
1031391,83 74 
1031391,83 65 
1031391,83 3 
1031634,56 66 
1031637,37 69 
1034993,7 65 
1034993,7 1 
1035406,86 68 
1041653,37 74 
1041653,37 4 
1041898,85 66 
1041911,49 69 
1045664,58 68 
1054525,37 74 
1054525,37 65 
1054525,37 3 
1054754,32 66 
1054771,26 69 
1058541,08 68 
1067493,57 65 
1067493,57 1 
1074393,6 65 
1074393,6 1 
1085693,59 65 
1085693,59 1 
1103393,71 65 
1103393,71 1 
1106709,23 74 
1106709,23 65 
1106709,23 3 
1106783,64 66 
1106794,5 69 
1108193,5 65 
1108193,5 1 
1110731,1 68 
1123693,7 65 
1123693,7 1 
1136921,94 74 
1136921,94 65 
1136921,94 3 
1137740,25 66 
1137751,33 69 
1140937,24 68 
1142736,95 74 
1142736,95 65 
1142736,95 3 
1142915,87 66 
1142921,89 69 
1144017,52 75 
1144103,51 66 
1144106,34 69 
1144546,89 75 
1144919,13 66 
1144923,63 69 
1145237,41 75 
1145462,77 66 
1145473,9 69 
1146513,45 75 
1146759,09 64 
1146774,88 68 
1147229,18 74 
1147229,18 4 
1147366,55 66 
1147375,31 69 
1149029,09 75 
1149094,75 66 
1149109,95 69 
1149557,41 75 
1149683,19 66 
